topic,input,reference_summary
business,"Mixed signals from French economy

The French economy picked up speed at the end of 2004, official figures show - but still looks set to have fallen short of the government's hopes.

According to state statistics body INSEE, growth for the three months to December was a seasonally-adjusted 0.7-0.8%, ahead of the 0.6% forecast. If confirmed, that would be the best quarterly showing since early 2002. It leaves GDP up 2.3% for the full year, but short of the 2.5% which the French government had predicted.

Despite the apparent shortfall in annual economic growth, the good quarterly figures - a so-called ""flash estimate"" - mark a continuing trend of improving indicators for the health of the French economy. The government is reiterating a 2.5% target for 2005, while the European Central Bank is making positive noises for the 12-nation eurozone as a whole. Also on Friday, France's industrial output for December was released, showing 0.7% growth. ""The numbers are good,"" said David Naude, economist at Deutsche Bank. ""They send a positive signal of a rebound in output... and open the way for a continuation in that trend into the New Year."" Service sector activity improved in January, hitting a seven-month high. But unemployment remains high at about 10%.","According to state statistics body INSEE, growth for the three months to December was a seasonally-adjusted 0.7-0.8%, ahead of the 0.6% forecast. If confirmed, that would be the best quarterly showing since early 2002. It leaves GDP up 2.3% for the full year, but short of the 2.5% which the French government had predicted. The French economy picked up speed at the end of 2004, official figures show - but still looks set to have fallen short of the government's hopes. Mixed signals from French economy"
business,"US trade gap hits record in 2004

The gap between US exports and imports hit an all-time high of $671.7bn (£484bn) in 2004, latest figures show.

The Commerce Department said the trade deficit for all of last year was 24.4% above the previous record - 2003's imbalance of $496.5bn. The deficit with China, up 30.5% at $162bn, was the largest ever recorded with a single country. However, on a monthly basis the US trade gap narrowed by 4.9% in December to £56.4bn. The US consumer's appetite for all things from oil to imported cars, and even wine and cheese, reached record levels last year and the figures are likely to spark fresh criticism of President Bush's economic policies.

Democrats claim the administration has not done enough to clamp down on unfair foreign trade practices. For example, they believe China's currency policy - which US manufacturers claim has undervalued the yuan by as much as 40% - has given China's rapidly expanding economy an unfair advantage against US competitors.

Meanwhile, the Bush administration argues that the US deficit reflects the fact the America is growing at faster rate than the rest of the world, spurring on more demand for imported goods. Some economists say this may allow an upward revision of US economic growth in the fourth quarter. But others point out that the deficit has reached such astronomical proportions that foreigners many choose not to hold as many dollar-denominated assets, which may in turn harm growth. For all of 2004, US exports rose 12.3% to $1.15 trillion, but imports rose even faster by 16.3% to a new record of $1.76 trillion. Foreign oil exports surged by 35.7% to a record $180.7bn, reflecting the rally in global oil prices and increasing domestic demand. Imports were not affected by the dollar's weakness last year. ""We expect the deficit to continue to widen in 2005 even if the dollar gets back to its downward trend,"" said economist Marie-Pierre Ripert at IXIS.","The Commerce Department said the trade deficit for all of last year was 24.4% above the previous record - 2003's imbalance of $496.5bn. The deficit with China, up 30.5% at $162bn, was the largest ever recorded with a single country. However, on a monthly basis the US trade gap narrowed by 4.9% in December to £56.4bn. The US consumer's appetite for all things from oil to imported cars, and even wine and cheese, reached record levels last year and the figures are likely to spark fresh criticism of President Bush's economic policies. US trade gap hits record in 2004"
business,"Yukos loses US bankruptcy battle

A judge has dismissed an attempt by Russian oil giant Yukos to gain bankruptcy protection in the US.

Yukos filed for Chapter 11 protection in Houston in an unsuccessful attempt to halt the auction of its Yugansk division by the Russian authorities. The court ruling is a blow to efforts to get damages for the sale of Yugansk, which Yukos claims was illegally sold. Separately, former Yukos boss Mikhail Khodorkovsky began testimony on Friday in his trial for fraud and tax evasion.

Mr Khodorkovsky - who has been in jail for more than a year - pleaded not guilty to the charges brought against him and denied involvement in any criminal activities. ""I pride myself on heading for 15 years a number of successful companies and helping other enterprises rise from their knees,"" he told a Russian court.

Yugansk was auctioned to help pay off $27.5bn (£14.5bn) in unpaid taxes. It was bought for $9.4bn by a previously-unknown group, which was in turn bought up almost immediately by state-controlled oil company Rosneft.

Texas Judge Letitia Clark said Yukos did not have enough of a US presence to establish US jurisdiction. ""The vast majority of the business and financial activities of Yukos continue to occur in Russia,"" Judge Clark said in her ruling. ""Such activities require the continued participation of the Russian government."" Yukos had argued that a US court was entitled to declare it bankrupt before its Yugansk unit was sold, since it has local bank accounts and its chief finance officer Bruce Misamore lives in Houston. Yukos claimed it sought help in the US because other forums - Russian courts and the European Court of Human Rights - were either unfriendly or offered less protection. Russia had indicated it would in any case not abide by the rulings of the US courts.

In her ruling, the judge acknowledged that ""it appears likely that agencies of the Russian government have acted in a manner that would be considered confiscatory under United States law"". But she said her role was simply to decide on jurisdiction. The US court's jurisdiction had been challenged by Deutsche Bank and Gazpromneft, a former unit of Russian gas monopoly Gazprom which is due to merge with Rosneft. Analysts said the ability of Gazprom and Rosneft to trade freely overseas had been stifled while the ownership of Yugansk remained unclear.

Yukos said it would consider its options in light of the ruling. However, it claimed that the court had backed its argument in four out of five key issues. ""We believe the merits of our case are strong and simple,"" said chief executive Steven Theede. ""Our assets were illegally seized. We want them back or damages paid.""","In her ruling, the judge acknowledged that ""it appears likely that agencies of the Russian government have acted in a manner that would be considered confiscatory under United States law"". But she said her role was simply to decide on jurisdiction. The US court's jurisdiction had been challenged by Deutsche Bank and Gazpromneft, a former unit of Russian gas monopoly Gazprom which is due to merge with Rosneft. Analysts said the ability of Gazprom and Rosneft to trade freely overseas had been stifled while the ownership of Yugansk remained unclear. Yukos loses US bankruptcy battle"
business,"Safety alert as GM recalls cars

The world's biggest carmaker General Motors (GM) is recalling nearly 200,000 vehicles in the US on safety grounds, according to federal regulators.

The National Highway Traffic Safety Administration (NHTSA) said the largest recall involves 155,465 pickups, vans and sports utility vehicles (SUVs). This is because of possible malfunctions with the braking systems. The affected vehicles in the product recall are from the 2004 and 2005 model years, GM said. Those vehicles with potential faults are the Chevrolet Avalanche, Express, Kodiak, Silverade and Suburban; the GMC Savana, Sierra and Yukon.

The NHTSA said a pressure accumulator in the braking system could crack during normal driving and fragments could injure people if the hood was open. This could allow hydraulic fluid to leak, which could make it harder to brake or steer and could cause a crash, it warned. GM is also recalling 19,924 Cadillac XLR coupes, SRX SUVs and Pontiac Grand Prix sedans from the 2004 model year. This is because the accelerator pedal may not work properly in extremely cold temperatures, requiring more braking. In addition, the car giant is calling back 17,815 Buick Raniers, Chevrolet Trailblazers, GMC Envoys and Isuzu Ascenders from the 2005 model years because the windshield is not properly fitted and could fall out in a crash. However, GM stressed that it did not know of any injuries related to the problems. News of the recall follows an announcement last month that GM expects earnings this year be lower than in 2004. The world's biggest car maker is grappling with losses in its European business, weak US sales and now a product recall. In January, GM said higher healthcare costs in North America, and lower profits at its financial services subsidiary would hurt its performance in 2005.","The National Highway Traffic Safety Administration (NHTSA) said the largest recall involves 155,465 pickups, vans and sports utility vehicles (SUVs). This is because of possible malfunctions with the braking systems. The affected vehicles in the product recall are from the 2004 and 2005 model years, GM said. Those vehicles with potential faults are the Chevrolet Avalanche, Express, Kodiak, Silverade and Suburban; the GMC Savana, Sierra and Yukon. The world's biggest carmaker General Motors (GM) is recalling nearly 200,000 vehicles in the US on safety grounds, according to federal regulators. Safety alert as GM recalls cars"
business,"Steel firm 'to cut' 45,000 jobs

Mittal Steel, one of the world's largest steel producers, could cut up to 45,000 jobs over the next five years, its chief executive has said.

The Netherlands-based company is due to complete its $4.5bn acquisition of US firm ISG next month, making it one of the largest global firms of its kind. However, Lakshmi Mittal has told investors the combined company will have to shed thousands of jobs. The Indian-born magnate did not say where the job losses would fall.

Mr Mittal told US investors that once the acquisition of International Steel Group was completed, the company would aim to reduce its workforce by between 7,000 and 8,000 annually. This could see its workforce trimmed from 155,000 to 110,000 staff by 2010. ""We are investing in modernisation so employees will go down,"" Mr Mittal told the conference in Chicago.

Mittal Steel was formed last year when Mr Mittal's LNM Holdings merged with Dutch firm Ispat. A combination of Mittal Steel and ISG would have annual sales of $32bn (£16.7bn; 24.1bn euros) and a production capacity of 70 million tonnes.

A Mittal Steel spokeman said that no decisions on job cuts have been made yet. ""We are trying to create a sustainable steel industry and if we want to do that, we have to invest in new technology,"" a spokesman said. Mittal Steel has operations in 14 countries. Many of its businesses - particularly those in eastern Europe - were previously state owned and have huge workforces. It employs 50,000 staff in Kazakhstan alone, and has large operations in Romania, the Czech Republic, South Africa and the United States.","A Mittal Steel spokeman said that no decisions on job cuts have been made yet. ""We are trying to create a sustainable steel industry and if we want to do that, we have to invest in new technology,"" a spokesman said. Mittal Steel has operations in 14 countries. Many of its businesses - particularly those in eastern Europe - were previously state owned and have huge workforces. It employs 50,000 staff in Kazakhstan alone, and has large operations in Romania, the Czech Republic, South Africa and the United States. Steel firm 'to cut' 45,000 jobs"
business,"Strong demand triggers oil rally

Crude oil prices surged back above the $47 a barrel mark on Thursday after an energy market watchdog raised its forecasts for global demand.

The International Energy Agency (IEA) warned demand for Opec's crude in the first quarter would outstrip supply. The IEA raised its estimate of 2005 oil demand growth by 80,000 barrels a day to 84 million barrels a day. US light crude rose $1.64 to $47.10, while Brent crude in London gained $1.32 to $44.45.

The Paris-based IEA watchdog, which advises industrialized nations on energy policy, said the upward revision was due to stronger demand from China and other Asian countries. The fresh rally in crude prices followed gains on Wednesday which were triggered by large falls in US crude supplies following a cold spell in North America in January. The US Department of Energy reported that crude stockpiles had fallen 1m barrels to 294.3m. On top of that, ongoing problems for beleaguered Russian oil giant Yukos have also prompted the IEA to revise its output estimates from Russia - a major non-Opec supplier. ""I think that prices are now beginning to set a new range and it looks like the $40 to $50 level,"" said energy analyst Orin Middleton of Barclays Capital.","The International Energy Agency (IEA) warned demand for Opec's crude in the first quarter would outstrip supply. The IEA raised its estimate of 2005 oil demand growth by 80,000 barrels a day to 84 million barrels a day. US light crude rose $1.64 to $47.10, while Brent crude in London gained $1.32 to $44.45. Crude oil prices surged back above the $47 a barrel mark on Thursday after an energy market watchdog raised its forecasts for global demand. Strong demand triggers oil rally"
business,"UK firm faces Venezuelan land row

Venezuelan authorities have said they will seize land owned by a British company as part of President Chavez's agrarian reform programme.

Officials in Cojedes state said on Friday that farmland owned by a subsidiary of the Vestey Group would be taken and used to settle poor farmers. The government is cracking down on so-called latifundios, or large rural estates, which it says are lying idle. The Vestey Group said it had not been informed of any planned seizure.

The firm, whose Agroflora subsidiary operates 13 farms in Venezuela, insisted that it had complied fully with Venezuelan law. Prosecutors in the south of the country have targeted Hato El Charcote, a beef cattle ranch owned by Agroflora. According to Reuters, they plan to seize 12,900 acres (5,200 hectares) from the 32,000 acre (13,000 hectare) farm.

Officials claim that Agroflora does not possess valid documents proving its ownership of the land in question. They also allege that areas of the ranch are not being used for any form of active production. ""The legal boundaries did not match up with the actual boundaries and there is surplus,"" state prosecutor Alexis Ortiz told Reuters. ""As a consequence the government has taken action.""

Controversial reforms passed in 2001 give the government the right to take control of private property if it is declared idle or ownership cannot be traced back to the 19th Century.

Critics say the powers - which President Chavez argues are needed to help the country's poorest citizens and develop the Venezuelan economy - trample all over private property rights. The Vestey Group said it had owned the land since 1920 and would co-operate fully with the authorities. But a spokesman added: ""Agroflora is absolutely confident that what it has submitted will demonstrate the legality of its title to the land."" The company pointed out that the farm, which employs 300 workers, provides meat solely for the Venezuelan market.

Last month, the government said it had identified more than 500 idle farms and had yet to consider the status of a further 40,000. The authorities said landowners whose titles were in order and whose farms were productive had ""nothing to fear"". Under President Chavez, the Venezuelan government has steadily expanded the state's involvement in the country's economy. It recently said all mining contracts involving foreign firms would be examined to ensure they provided sufficient economic benefits to the state.","Critics say the powers - which President Chavez argues are needed to help the country's poorest citizens and develop the Venezuelan economy - trample all over private property rights. The Vestey Group said it had owned the land since 1920 and would co-operate fully with the authorities. But a spokesman added: ""Agroflora is absolutely confident that what it has submitted will demonstrate the legality of its title to the land."" The company pointed out that the farm, which employs 300 workers, provides meat solely for the Venezuelan market. UK firm faces Venezuelan land row"
business,"Soaring oil 'hits world economy'

The soaring cost of oil has hit global economic growth, although world's major economies should weather the storm of price rises, according to the OECD.

In its latest bi-annual report, the OECD cut its growth predictions for the world's main industrialised regions. US growth would reach 4.4% in 2004, but fall to 3.3% next year from a previous estimate of 3.7%, the OECD said. However, the Paris-based economics think tank said it believed the global economy could still regain momentum.

Forecasts for Japanese growth were also scaled back to 4.0% from 4.4% this year and 2.1% from 2.8% in 2005. But the outlook was worst for the 12-member eurozone bloc, with already sluggish growth forecasts slipping to 1.8% from 2.0% this year and 1.9% from 2.4% in 2005, the OECD said. Overall, the report forecast total growth of 3.6% in 2004 for the 30 member countries of the OECD, slipping to 2.9% next year before recovering to 3.1% in 2006. ""There are nonetheless good reasons to believe that despite recent oil price turbulence the world economy will regain momentum in a not-too-distant future,"" said Jean-Philippe Cotis, the OECD's chief economist. The price of crude is about 50% higher than it was at the start of 2004, but down on the record high of $55.67 set in late October.

A dip in oil prices and improving jobs prospects would improve consumer confidence and spending, the OECD said. ""The oil shock is not enormous by historical standards - we have seen worse in the seventies. If the oil price does not rise any further, then we think the shock can be absorbed within the next few quarters,"" Vincent Koen, a senior economist with the OECD, told the BBC's World Business Report. ""The recovery that was underway, and has been interrupted a bit by the oil shock this year, would then regain momentum in the course of 2005."" China's booming economy and a ""spectacular comeback"" in Japan - albeit one that has faltered in recent months - would help world economic recovery, the OECD said. ""Supported by strong balance sheets and high profits, the recovery of business investment should continue in North America and start in earnest in Europe,"" it added. However, the report warned: ""It remains to be seen whether continental Europe will play a strong supportive role through a marked upswing of final domestic demand."" The OECD highlighted current depressed household expenditure in Germany and the eurozone's over-reliance on export-led growth.","In its latest bi-annual report, the OECD cut its growth predictions for the world's main industrialised regions. US growth would reach 4.4% in 2004, but fall to 3.3% next year from a previous estimate of 3.7%, the OECD said. However, the Paris-based economics think tank said it believed the global economy could still regain momentum. The soaring cost of oil has hit global economic growth, although world's major economies should weather the storm of price rises, according to the OECD. Soaring oil 'hits world economy'"
business,"Irish markets reach all-time high

Irish shares have risen to a record high, with investors persuaded to buy into the market by low inflation and strong growth forecasts.

The ISEQ index of leading shares closed up 23 points to 6661.89 on Thursday, fuelled by strong growth in banking and financial stocks. A fall in the rate of inflation to 2.3% in January gave a fresh boost to shares which have advanced 4% this month. The economy is set for strong growth in 2005 while interest rates remain low.

Several of Ireland's biggest companies saw their market value hit recent highs on Thursday. Allied Irish Banks, Ireland's biggest company by capitalisation, touched a five year peak while Bank of Ireland shares rose to their highest level since August 2002.

Telecoms firm Eircom, which recently revealed that it would re-enter the Irish mobile phone market, hit a yearly high. Analysts said that economic conditions were benign and Irish shares were still trading at a discount to other European markets. ""Ireland ticks all the boxes as far as international investors are concerned,"" Roy Asher, chief investment officer of Hibernian Investment Managers, told Reuters. ""Buoyant economic conditions are set to continue in Ireland over the next few years and Irish equities continue to offer quality growth at a reasonable valuation.""

Bernard McAlinden, head of equity research at NCB Stockbrokers, said equities represented good value compared to other investments. ""It is still looking good,"" he told Reuters. ""We have seen good economic data on Ireland which benefits the financial stocks."" Ireland's economic 'miracle' is enjoying a second wind, with 5% growth forecast for 2005 and 2006. The economy cooled markedly between 2001 and 2003 after enjoying spectacular growth of more than 10% in 2000. However, it has bounced back strongly with growth of just under 5% expected in 2004.","Telecoms firm Eircom, which recently revealed that it would re-enter the Irish mobile phone market, hit a yearly high. Analysts said that economic conditions were benign and Irish shares were still trading at a discount to other European markets. ""Ireland ticks all the boxes as far as international investors are concerned,"" Roy Asher, chief investment officer of Hibernian Investment Managers, told Reuters. ""Buoyant economic conditions are set to continue in Ireland over the next few years and Irish equities continue to offer quality growth at a reasonable valuation."" Irish markets reach all-time high"
business,"Japanese banking battle at an end

Japan's Sumitomo Mitsui Financial has withdrawn its takeover offer for rival bank UFJ Holdings, enabling the latter to merge with Mitsubishi Tokyo.

Sumitomo bosses told counterparts at UFJ of its decision on Friday, clearing the way for it to conclude a 3 trillion yen ($29bn) deal with Mitsubishi. The deal would create the world's biggest bank with assets of about 189 trillion yen ($1.8 trillion). Sumitomo's exit ends the most high profile fight in Japanese bank history.

UFJ Holdings, Japan's fourth-largest bank, has been at the centre of a fierce bid battle over the last year. Sumitomo, Japan's third-largest bank, tabled a higher offer for UFJ than its rival, valuing the company at $35bn.

However, UFJ's management was known to prefer the offer from Mitsubishi Tokyo Financial Group (MTFG), Japan's second-largest bank. Concerns were also raised about Sumitomo's ability to absorb UFJ and the former has now admitted defeat. ""We believe the market and most investors accept a UFJ-MTFG merger,"" Sumitomo said in a statement. ""Given the ongoing integration of UFJ and MTFG operations, persisting with our proposal may not be in the best interests of our shareholders or UFJ's.""

Mitsubishi's takeover of UFJ - which will be Japan's largest-ever takeover deal - will still have to be approved by shareholders of the two firms. However, this is expected to be a formality. Sumitomo may now turn its attention to deepening its ties with Daiwa Securities, another Japanese financial firm. The two are set to merge their venture capital operations and there has been speculation that this could lead to a full-blown merger. Japanese banks are increasingly seeking alliances to boost profits.","However, UFJ's management was known to prefer the offer from Mitsubishi Tokyo Financial Group (MTFG), Japan's second-largest bank. Concerns were also raised about Sumitomo's ability to absorb UFJ and the former has now admitted defeat. ""We believe the market and most investors accept a UFJ-MTFG merger,"" Sumitomo said in a statement. ""Given the ongoing integration of UFJ and MTFG operations, persisting with our proposal may not be in the best interests of our shareholders or UFJ's."" Japan's Sumitomo Mitsui Financial has withdrawn its takeover offer for rival bank UFJ Holdings, enabling the latter to merge with Mitsubishi Tokyo."
business,"Rich grab half Colombia poor fund

Half of the money put aside by the Colombian government to help the country's poor is benefiting people who do not need it, a study has found.

A total of 24.2 trillion pesos ($10.2bn; £5.5bn) is earmarked for subsidies for the poor, the government department for planning said. But it also found 12.1 trillion pesos was going to the richest part of the population, rather than to those in need. Sound distribution of the cash could cut poverty levels to 36% from 53%, the government believes. ""Resources are more than enough to reduce poverty and there is no need for more tax reforms but a better distribution,"" deputy planning director Jose Leibovich said.

Colombia has a population of about 44 million and half lives below poverty line. However, some large properties are paying less in tax as they are situated inside poor areas, which benefit from cheaper utilities such as electricity and water, government research found. Government expenditure in areas such as pensions, public services, education, property and health should be revised, Mr Leibovich said. He added that the government is now examining the report, but warned there would be no easy solution to the problem. With a good distribution of such subsidies and economic growth of just 2%, by 2019 poverty could fall as low as 15.3%, he said.","A total of 24.2 trillion pesos ($10.2bn; £5.5bn) is earmarked for subsidies for the poor, the government department for planning said. But it also found 12.1 trillion pesos was going to the richest part of the population, rather than to those in need. Sound distribution of the cash could cut poverty levels to 36% from 53%, the government believes. ""Resources are more than enough to reduce poverty and there is no need for more tax reforms but a better distribution,"" deputy planning director Jose Leibovich said. Rich grab half Colombia poor fund"
business,"Rover deal 'may cost 2,000 jobs'

Some 2,000 jobs at MG Rover's Midlands plant may be cut if investment in the firm by a Chinese car maker goes ahead, the Financial Times has reported.

Shanghai Automotive Industry Corp plans to shift production of the Rover 25 to China and export it to the UK, sources close to the negotiations tell the FT. But Rover told BBC News that reports of job cuts were ""speculation"". A tie-up, seen as Rover's last chance to save its Longbridge plant, has been pushed by UK Chancellor Gordon Brown. Rover confirmed the tie-up would take place ""not very far away from this time"".

Rover bosses have said they are ""confident"" the £1bn ($1.9bn) investment deal would be signed in March or early April.

Transport & General Worker's Union general secretary Tony Woodley repeated his view on Friday that all mergers led to some job cuts. He said investment in new models was needed to ensure the future of the Birmingham plant. ""This is a very crucial and delicate time and our efforts are targeted to securing new models for the company which will mean jobs for our people,"" he said. SAIC says none of its money will be paid to the four owners of Rover, who have been accused by unions of awarding themselves exorbitant salaries, the FT reports. ""SAIC is extremely concerned to ensure that its money is used to invest in the business rather than be distributed to the shareholders,"" the newspaper quotes a source close to the Chinese firm. Meanwhile, according to Chinese state press reports, small state-owned carmaker Nanjing Auto is in negotiations with Rover and SAIC to take a 20% stake in the joint venture. SAIC was unavailable for comment on the job cuts when contacted by BBC News. Rover and SAIC signed a technology-sharing agreement in August.","Shanghai Automotive Industry Corp plans to shift production of the Rover 25 to China and export it to the UK, sources close to the negotiations tell the FT. But Rover told BBC News that reports of job cuts were ""speculation"". A tie-up, seen as Rover's last chance to save its Longbridge plant, has been pushed by UK Chancellor Gordon Brown. Rover confirmed the tie-up would take place ""not very far away from this time"". Rover bosses have said they are ""confident"" the £1bn ($1.9bn) investment deal would be signed in March or early April. Rover deal 'may cost 2,000 jobs'"
business,"Ad firm WPP's profits surge 15%

UK advertising giant WPP has posted larger-than-expected annual profits and predicted that it will outperform the market in 2005.

Pre-tax profits rose 15% from a year ago to reach £546m ($1.04bn), ahead of average analysts' forecasts of £532m. Revenues were £4.3bn while the firm's operating margins were 14.1%, which it said could reach 14.8% by 2006. During the year WPP bought US rival Grey Global, creating a giant big enough to rival sector leader Omnicom.

Chief Executive Martin Sorrell on Friday told Reuters news agency that WPP had submitted a proposal for United Business Media's NOP World market research unit. Analysts say the unit sell could sell for up to £350m. WPP in recent years has also bought firms such as Ogilvy & Mather and Cordiant Communications. It also includes the firms Young & Rubicam and J Walter Thompson. Events such as the Olympics helped boost WPP's profits in 2004. The company said the US Congressional elections and the FIFA World Cup are likely to present advertising opportunities in the near future. The long-term outlook looks ""very favourable"" because of media and technology developments and the strength of the US economy, WPP said.","Pre-tax profits rose 15% from a year ago to reach £546m ($1.04bn), ahead of average analysts' forecasts of £532m. Revenues were £4.3bn while the firm's operating margins were 14.1%, which it said could reach 14.8% by 2006. During the year WPP bought US rival Grey Global, creating a giant big enough to rival sector leader Omnicom. UK advertising giant WPP has posted larger-than-expected annual profits and predicted that it will outperform the market in 2005. Ad firm WPP's profits surge 15%"
business,"US gives foreign firms extra time

Foreign firms have been given an extra year to meet tough new corporate governance regulations imposed by the US stock market watchdog.

The Securities and Exchange Commission has extended the deadline to get in line with the rules until 15 July 2006. Many foreign firms had protested that the SEC was imposing an unfair burden. The new rules are the result of the Sarbanes-Oxley Act, part of the US clean-up after corporate scandals such as Enron and Worldcom. Section 404 of the Sox Act, as the legislation is nicknamed, calls for all firms to certify that their financial reporting is in line with US rules. Big US firms already have to meet the requirements, but smaller ones and foreign-based firms which list their shares on US stock markets originally had until the middle of this year.

Over the past few months, delegations of European and other business leaders have been heading to the SEC's Washington DC headquarters to protest. They say the burden is too expensive and the timescale too short and some, particularly the UK's CBI, warned that companies would choose to let their US listings drop rather than get in line with section 404. The latest delegation from the CBI met SEC officials on Wednesday, just before the decision to relax the deadline was announced. ""I think this signifies a change of heart at the SEC,"" CBI director-general Sir Digby Jones told the BBC's Today programme. ""They have been listening to us and to many overseas companies, who have reminded America what globalisation really means: that they can't make these rules in isolation."" The SEC said it had taken into consideration the fact that foreign companies were already working to meet more onerous financial reporting rules in their home countries. The European Union, in particular, was imposing new international financial reporting standards in 2005, it noted. ""I don't underestimate the effort (compliance) will require... but this extension will provide additional time for those issuers to take a good hard look at their internal controls,"" said Donald Nicolaisen, the SEC's chief accountant.",Foreign firms have been given an extra year to meet tough new corporate governance regulations imposed by the US stock market watchdog. US gives foreign firms extra time
business,"Japanese mogul arrested for fraud

One of Japan's best-known businessmen was arrested on Thursday on charges of falsifying shareholder information and selling shares based on the false data.

Yoshiaki Tsutsumi was once ranked as the world's richest man and ran a business spanning hotels, railways, construction and a baseball team. His is the latest in a series of arrests of top executives in Japan over business scandals. He was taken away in a van outside one of his Prince hotels in Tokyo.

There was a time when Mr Tsutsumi seemed untouchable. Inheriting a large property business from his father in the 1960s, he became one of Japan's most powerful industrialists, with close connections to many of the country's leading politicians. He used his wealth and influence to bring the Winter Olympic Games to Nagano in 1998. But last year, he was forced to resign from all the posts he held in his business empire, after being accused of falsifying the share-ownership structure of Seibu Railways, one of his companies. Under Japanese stock market rules, no listed company can be more than 80% owned by its 10 largest shareholders. Now Mr Tsutsumi faces criminal charges and the possibility of a prison sentence because he made it look as if the 10 biggest shareholders owned less than this amount. Seibu Railways has been delisted from the stock exchange, its share value has plunged and it is the target of a takeover bid.

Mr Tsutsumi's fall from grace follows the arrests of several other top executives in Japan as the authorities try to curb the murky business practices which were once widespread in Japanese companies. His determination to stay at the top at all costs may have had its roots in his childhood. The illegitimate third son of a rich father, who made his money buying up property as Japan rebuilt after World War II, he has described the demands his father made. ""I felt enormous pressure when I dined with him and it was nothing but pain,"" Tsutsumi told a weekly magazine in 1987. ""He scolded me for pouring too much soy sauce or told me fruit was not for children. He didn't let me use the silk futon, saying it's a luxury."" There have been corporate governance issues at some other Japanese companies too. Last year, twelve managers from Mitsubishi Motors were charged with covering up safety defects in their vehicles and three executives from Japan's troubled UFJ bank were charged with concealing the extent of the bank's bad loans.","Yoshiaki Tsutsumi was once ranked as the world's richest man and ran a business spanning hotels, railways, construction and a baseball team. His is the latest in a series of arrests of top executives in Japan over business scandals. He was taken away in a van outside one of his Prince hotels in Tokyo. One of Japan's best-known businessmen was arrested on Thursday on charges of falsifying shareholder information and selling shares based on the false data. Japanese mogul arrested for fraud"
business,"Deutsche Telekom sees mobile gain

German telecoms firm Deutsche Telekom saw strong fourth quarter profits on the back of upbeat US mobile earnings and better-than-expected asset sales.

Net profit came in at 1.4bn euros (£960m; $1.85bn), a dramatic change from the loss of 364m euros in 2003. Sales rose 2.8% to 14.96bn euros. Sales of stakes in firms including Russia's OAO Mobile Telesystems raised 1.17bn euros. This was more than expected and helped to bring debt down to 35.8bn euros.

A year ago, debt was more than 11bn euros higher. T-Mobile USA, the company's American mobile business, made a strong contribution to profits. ""It's a seminal achievement that they cut debt so low. That gives them some head room to invest in growth now,"" said Hannes Wittig, telecoms analyst at Dresdner Kleinwort Wasserstein. The company also said it would resume paying a dividend, after two years in which it focused on cutting debt.","A year ago, debt was more than 11bn euros higher. T-Mobile USA, the company's American mobile business, made a strong contribution to profits. ""It's a seminal achievement that they cut debt so low. That gives them some head room to invest in growth now,"" said Hannes Wittig, telecoms analyst at Dresdner Kleinwort Wasserstein. The company also said it would resume paying a dividend, after two years in which it focused on cutting debt. German telecoms firm Deutsche Telekom saw strong fourth quarter profits on the back of upbeat US mobile earnings and better-than-expected asset sales. Deutsche Telekom sees mobile gain"
business,"Chinese wine tempts Italy's Illva

Italy's Illva Saronno has agreed to buy 33% of Changyu, the largest wine maker in China.

Changyu said in a statement to the Shenzhen stock exchange that Illva will pay 481.42m yuan ($58.16m; £30.7m), once the government approves the deal. The Italian liqueur maker will acquire the shares from the Yantai State Asset Management Bureau. Chinese wine sales are growing, the US Agriculture Department said, with wine sales in 2003 up 25% at 61.1bn yuan.

China is encouraging state-owned companies to sell shares to foreign investors. Anheuser-Busch, Heineken and Scottish & Newcastle have all invested in the Chinese beer industry in the last two years and now Illva Saronno is betting on the Chinese wine market. Yantai State Asset Management Bureau - a government agency in the north-eastern city of Yantai - owns 55% of Changyu. The state agency will also sell 10% of its stake in Changyu to another overseas company, although it didn't say who. The remaining 12% will be retained by the Yantai city government. The consumption of wine in China is still low, at just 0.22 litres per capita, said the US Agriculture Department. This compares with 59 litres in France, 12 litres in the US and three litres in Japan.","Changyu said in a statement to the Shenzhen stock exchange that Illva will pay 481.42m yuan ($58.16m; £30.7m), once the government approves the deal. The Italian liqueur maker will acquire the shares from the Yantai State Asset Management Bureau. Chinese wine sales are growing, the US Agriculture Department said, with wine sales in 2003 up 25% at 61.1bn yuan. Italy's Illva Saronno has agreed to buy 33% of Changyu, the largest wine maker in China. Chinese wine tempts Italy's Illva"
