CreditScore,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Geography_France,Geography_Germany,Geography_Spain
659,1,31,7,149620.88,2,1,1,104533.51,0,0,0,1
569,1,41,2,0.0,2,1,0,134272.57,0,0,0,1
621,1,39,8,0.0,2,1,0,36122.96,0,0,0,1
652,0,32,2,0.0,2,1,0,54628.11,0,1,0,0
586,0,35,7,164769.02,3,1,0,119814.25,1,1,0,0
737,1,54,9,0.0,1,1,0,83470.4,1,1,0,0
623,0,40,7,0.0,1,1,1,25904.12,0,0,0,1
639,0,54,2,0.0,2,1,1,53843.71,0,0,0,1
574,1,33,8,100267.03,1,1,0,103006.27,0,1,0,0
739,0,27,6,0.0,1,1,1,57572.38,0,1,0,0
670,1,36,3,0.0,1,1,0,140754.19,1,1,0,0
566,0,40,2,97001.36,2,1,0,154486.01,0,0,1,0
632,0,21,1,0.0,2,1,0,84008.66,0,1,0,0
567,1,35,8,153137.74,1,1,0,88659.07,0,0,0,1
643,1,59,3,170331.37,1,1,1,32171.79,0,0,1,0
522,1,30,3,0.0,2,1,0,145490.85,0,0,0,1
682,1,61,10,73688.2,1,1,1,172141.33,0,1,0,0
502,0,42,0,132002.7,1,0,1,28204.98,1,0,1,0
742,0,60,4,0.0,1,1,1,13161.66,1,1,0,0
629,1,34,6,0.0,2,1,0,190347.72,0,0,0,1
607,1,32,9,144272.07,2,1,0,176580.63,0,0,1,0
687,0,39,2,0.0,3,0,0,188150.6,1,0,0,1
675,1,39,1,0.0,2,1,0,153129.22,0,1,0,0
606,1,32,6,0.0,2,0,1,36540.63,0,1,0,0
547,1,30,6,0.0,2,1,1,18471.86,0,1,0,0
850,1,35,2,0.0,2,1,1,56991.66,0,1,0,0
629,1,34,8,0.0,2,1,1,180595.02,0,0,0,1
768,0,36,3,141334.95,1,0,1,125870.5,0,1,0,0
554,0,45,6,0.0,2,1,1,181204.5,0,1,0,0
599,0,49,2,0.0,2,1,0,111190.53,0,0,0,1
577,0,30,8,92472.1,2,0,1,126434.61,0,1,0,0
850,0,28,2,0.0,2,1,1,38773.74,0,1,0,0
430,1,31,5,0.0,1,1,0,95655.16,0,1,0,0
585,1,50,2,125845.66,1,1,0,9439.31,1,0,1,0
556,0,39,9,89588.35,1,1,1,94898.1,0,1,0,0
583,1,47,5,102562.23,1,1,0,92708.1,0,0,0,1
678,1,43,1,133237.21,1,1,0,111032.79,1,1,0,0
581,0,46,1,0.0,2,1,0,104272.04,0,0,0,1
610,0,27,2,0.0,2,1,0,14546.76,0,1,0,0
819,1,35,1,0.0,2,0,1,3385.04,0,1,0,0
850,1,31,3,0.0,2,1,0,121866.87,0,1,0,0
627,1,27,1,62092.9,1,1,1,105887.04,0,1,0,0
577,1,60,10,125389.7,2,1,1,178616.73,0,1,0,0
618,0,40,1,133245.52,2,1,1,54495.82,0,0,1,0
493,1,32,8,46161.18,1,1,1,79577.4,0,0,0,1
559,1,33,9,111060.05,2,1,0,110371.84,0,1,0,0
561,1,37,4,101470.29,1,0,1,88838.14,0,0,0,1
667,1,31,3,99513.91,1,1,1,189657.26,0,1,0,0
529,0,43,0,123815.86,1,1,1,78463.99,1,1,0,0
596,1,37,2,0.0,1,0,1,121175.86,0,1,0,0
744,0,38,9,0.0,2,0,0,20940.76,0,1,0,0
651,1,45,2,165901.59,2,1,0,23054.51,1,1,0,0
549,1,34,6,204017.4,2,1,0,109538.35,0,0,1,0
611,0,46,5,0.0,1,1,0,77677.14,1,1,0,0
768,1,30,6,0.0,2,1,1,199454.37,0,1,0,0
535,0,44,2,114427.86,1,1,1,136330.26,0,1,0,0
663,1,32,8,130627.66,1,1,0,47161.25,1,0,1,0
628,1,50,4,122227.71,1,0,1,14217.77,1,0,1,0
781,0,48,9,82794.18,1,1,0,124720.68,1,0,1,0
506,1,37,5,0.0,2,1,1,127543.81,0,1,0,0
578,1,32,4,0.0,2,1,1,141822.8,0,1,0,0
646,1,26,4,139848.17,1,1,0,164696.27,0,1,0,0
544,0,29,1,118560.55,1,1,1,164137.36,0,1,0,0
576,0,50,8,0.0,2,1,1,57802.62,0,1,0,0
809,1,33,8,148055.74,1,0,0,199203.21,0,0,1,0
727,1,28,5,0.0,2,0,1,19653.08,0,1,0,0
850,1,41,3,136416.82,1,0,1,57844.26,0,1,0,0
749,0,33,1,74385.98,1,1,0,20164.47,0,1,0,0
706,1,53,7,0.0,2,0,1,117939.17,0,0,0,1
421,1,34,2,0.0,2,1,1,96615.23,0,1,0,0
692,1,69,10,154953.94,1,1,1,70849.47,0,1,0,0
528,0,46,9,135555.66,1,1,0,133146.03,1,0,1,0
732,1,26,7,0.0,2,1,0,154364.66,0,1,0,0
850,1,40,4,166082.15,2,0,1,44406.17,0,0,1,0
725,0,36,1,118851.05,1,1,1,102747.02,0,1,0,0
516,0,31,7,0.0,1,1,0,47018.75,0,0,0,1
771,0,23,7,156123.73,1,1,0,72990.62,0,1,0,0
487,1,24,7,133628.09,2,1,1,98570.01,0,1,0,0
828,1,42,10,0.0,1,1,1,186071.14,0,0,0,1
734,0,37,0,152760.24,1,1,1,48990.5,0,0,0,1
555,1,29,4,128744.04,1,1,1,47454.93,0,1,0,0
850,1,27,6,96654.72,2,0,0,152740.16,0,1,0,0
523,1,61,8,66250.71,1,1,1,21859.06,0,1,0,0
777,0,37,10,121532.17,2,1,1,73464.88,0,0,1,0
639,1,66,0,0.0,2,0,1,42240.54,0,1,0,0
694,0,37,3,0.0,2,1,1,147012.22,0,0,0,1
489,1,28,1,79460.98,2,1,1,167973.63,0,0,1,0
649,0,38,8,0.0,1,1,0,103760.53,0,0,0,1
699,0,32,4,110559.46,1,1,1,127429.56,0,1,0,0
511,0,66,4,0.0,1,1,0,1643.11,1,0,0,1
820,0,39,1,104614.29,1,1,0,61538.43,1,1,0,0
497,1,47,6,0.0,1,1,1,90055.08,0,1,0,0
796,0,40,1,99745.95,1,1,0,177524.19,0,0,1,0
613,1,42,7,115076.06,1,1,1,79323.61,0,1,0,0
599,1,34,2,101506.66,1,0,0,198030.24,0,0,0,1
604,0,53,2,121389.78,1,1,1,48201.64,1,1,0,0
718,1,48,9,0.0,2,1,1,72105.63,0,1,0,0
481,1,44,3,163714.52,1,1,0,96123.72,0,0,1,0
678,1,60,8,185648.56,1,0,0,192156.54,1,1,0,0
494,0,38,7,174937.64,1,1,0,40084.32,0,0,1,0
514,0,45,3,109032.23,1,0,1,155407.21,1,0,1,0
593,0,46,7,98752.51,1,1,0,145560.38,0,1,0,0
660,1,30,7,146301.31,1,0,0,96847.91,0,1,0,0
