id,new_rfp,new_question,question_to_llm,answer,ground_truth,existing_rfp
12,rfp_new_questions_client_100.csv,How do you assess and ensure the performance and scalability of your LLMs in high-demand scenarios?,"What is the most similar question to: ""How do you assess and ensure the performance and scalability of your LLMs in high-demand scenarios?""",None,How do you verify and ensure that your LLMs can handle increased demands effectively?,rfp_exisiting_questions_client_2.csv
13,rfp_new_questions_client_100.csv,"Can you provide examples of successful deployments of your LLM-based applications, including the challenges faced and how they were addressed?","What is the most similar question to: ""Can you provide examples of successful deployments of your LLM-based applications, including the challenges faced and how they were addressed?""",None,Can you provide case studies of successful LLM-based application deployments that outline encountered challenges and solutions?,rfp_exisiting_questions_client_2.csv
14,rfp_new_questions_client_100.csv,What is your approach to integrating LLMs with existing systems and workflows within an organization?,"What is the most similar question to: ""What is your approach to integrating LLMs with existing systems and workflows within an organization?""",None,Describe how you integrate LLMs into existing organizational systems and processes.,rfp_exisiting_questions_client_2.csv
15,rfp_new_questions_client_100.csv,"How do you plan to support and maintain LLM-based applications post-deployment, including handling model drift and providing updates?","What is the most similar question to: ""How do you plan to support and maintain LLM-based applications post-deployment, including handling model drift and providing updates?""",None,"What are your strategies for supporting and maintaining LLM-based applications after deployment, including addressing model drift and updates?",rfp_exisiting_questions_client_2.csv
16,rfp_new_questions_client_100.csv,How does your AI solution align with the NIST AI RMF's guidelines for trustworthy and responsible AI?,"What is the most similar question to: ""How does your AI solution align with the NIST AI RMF's guidelines for trustworthy and responsible AI?""",None,How does your AI solution comply with the guidelines of the NIST AI RMF for responsible and trustworthy AI?,rfp_exisiting_questions_client_2.csv
17,rfp_new_questions_client_100.csv,Can you describe the governance structures you have in place to manage AI risks as recommended by the NIST AI RMF?,"What is the most similar question to: ""Can you describe the governance structures you have in place to manage AI risks as recommended by the NIST AI RMF?""",None,Could you describe the governance frameworks you use for overseeing AI risks as advised by the NIST AI RMF?,rfp_exisiting_questions_client_2.csv
18,rfp_new_questions_client_100.csv,How do you identify and assess AI risks in line with the NIST AI RMF's 'Map' function?,"What is the most similar question to: ""How do you identify and assess AI risks in line with the NIST AI RMF's 'Map' function?""",None,How do you identify and evaluate AI risks following the 'Map' function of the NIST AI RMF?,rfp_exisiting_questions_client_2.csv
19,rfp_new_questions_client_100.csv,"What measures do you take to ensure transparency and explainability in AI decision-making, as emphasized by the NIST AI RMF?","What is the most similar question to: ""What measures do you take to ensure transparency and explainability in AI decision-making, as emphasized by the NIST AI RMF?""",None,"What steps do you implement to ensure AI decisions are transparent and explainable, in line with NIST AI RMF standards?",rfp_exisiting_questions_client_2.csv
20,rfp_new_questions_client_100.csv,"How do you track and measure exposure to AI risks, and what metrics do you use, as suggested by the NIST AI RMF's 'Measure' function?","What is the most similar question to: ""How do you track and measure exposure to AI risks, and what metrics do you use, as suggested by the NIST AI RMF's 'Measure' function?""",None,"How do you monitor and assess AI risk exposure, and what metrics do you utilize as recommended by the NIST AI RMF's 'Measure' function?",rfp_exisiting_questions_client_2.csv
21,rfp_new_questions_client_100.csv,Describe how your AI solutions manage and mitigate identified risks in accordance with the NIST AI RMF's 'Manage' function.,"What is the most similar question to: ""Describe how your AI solutions manage and mitigate identified risks in accordance with the NIST AI RMF's 'Manage' function.""",None,Explain how you manage and mitigate AI risks in adherence to the NIST AI RMF's 'Manage' function.,rfp_exisiting_questions_client_2.csv
22,rfp_new_questions_client_100.csv,How do you ensure that your AI solutions are compliant with U.S. regulations on data privacy and security?,"What is the most similar question to: ""How do you ensure that your AI solutions are compliant with U.S. regulations on data privacy and security?""",None,How do you ensure compliance with U.S. laws on data privacy and security for your AI solutions?,rfp_exisiting_questions_client_2.csv
23,rfp_new_questions_client_100.csv,"In what ways do you contribute to the continual improvement of AI risk management practices, as envisioned by the NIST AI RMF?","What is the most similar question to: ""In what ways do you contribute to the continual improvement of AI risk management practices, as envisioned by the NIST AI RMF?""",None,"In what ways do you participate in advancing AI risk management practices, following the guidelines of the NIST AI RMF?",rfp_exisiting_questions_client_2.csv
